LOCATION,DRAWINGNUM,CONTRACTNUM,PROJECTNUM,PROJECTMGR,ORIGINATOR,TITLE,COMMENTS,DATE
16,131,100054B,NULL,Daniel Belding,Penfield And Smith  Stantec,Santa Ynez  Apts Storm Drain Project El Colegio Rd Phase Ii,NULL,2009-08-14 00:00:00.000
16,132,NULL,NULL,Ron Strahl,Penfield And Smith  Stantec,Fm Yard Lot 31 Perimeter Drainage,NULL,2012-08-22 00:00:00.000
16,133,"140377S ",NULL,Jennifer Pierce,Penfield And Smith  Stantec,Cabrillo Business Park Storm Drain,NULL,2014-02-27 00:00:00.000
17,141,970071L/980960,NULL,Frank Castanha,Tam,Seawater System Renewal,NULL,1997-01-01 00:00:00.000
18,135,0107105/291-18,NULL,Emilio Casanueva,Castleberg,Irrigation,NULL,2001-05-15 00:00:00.000
19,102,910471SL/986028/102-39,NULL,Ray Aronson,Brown And Caldwell Steve Tanaka,Ucsb Reclaimed Water Distribution System,NULL,1992-08-20 00:00:00.000
19,104,,NULL,Ray Aronson,Castleberg Associates,"Rob Field Reclaimed Water ",NULL,1994-05-02 00:00:00.000
19,105,940085/986028,NULL,Ray Aronson,Penfield And Smith  Stantec,Booster Pump At Parking Lot 30,NULL,1996-06-01 00:00:00.000
19,106,980049S/986255,NULL,Ray Aronson,Penfield And Smith  Stantec,San Rafael Reclaimed Waterline,NULL,1999-04-27 00:00:00.000
19,112,080119S/292-82,NULL,George Levinthal,Penfield And Smith  Stantec,San Miguel Reclaimed Water Continuation Project,NULL,2007-08-27 00:00:00.000
19,113,130447B,NULL,Paul Kouns,Penfield And Smith  Stantec,San Rafael Reclaimed Water Line,NULL,2013-05-31 00:00:00.000
19,114,140208B/987824,NULL,Ray Aronson,Penfield And Smith  Stantec,Ucen Road Reclaimed Water Extension,NULL,2013-10-24 00:00:00.000
19,115,NULL,NULL,Gwd,Penfield And Smith  Stantec,Ocean Meadows Golf Course Reclaimed Water Irrigation System Restoration,NULL,2015-06-30 00:00:00.000
19,116,160024/986470,NULL,Ernie Knapp,Kim True  True Nature,Lot 60 Reclaim Water Connection,NULL,2016-05-26 00:00:00.000
19,117,Devereux,NULL,UNKNOWN,Flowers and Associates,Devereux Reclaimed Water Service Retrofit,outside agency  --- numbered in 2017 for organization purposes only,1999-12-07 00:00:00.000
19,118,outside_agency,NULL,outside_agency,unknown,UCSB Relocation of Recycled Waterline at Mesa Road and University Plaza,,2005-08-22 00:00:00.000
19,119,FM,NULL,Leslie Colasse,Stantec,"UCSB JJHH-18"" Reclaimed Water Main realignment",,2018-12-03 00:00:00.000
19,120,Unknown,NULL,Ray Aronson,Flowers & Associates,UCSB West Campus Reclaimed Water Main Extension - GWD Signed,GWD Signed.  Received from GWD in 2020.  Retroactively added to our scanned drawings database.,1999-04-06 00:00:00.000
19,121,TBD,NULL,Ashley Monser,Kim True True Nature,Pearl Chase Park Recycled Water Conversion,,2021-12-17 00:00:00.000
21,101,980422L/988805,NULL,Ray Aronson,Verle A Williams And Associates,Chilled Waterloop Underground Piping,NULL,1999-05-01 00:00:00.000
21,102,980497L/988805,NULL,Ed Marini,Verle A Williams And Associates,Chilled Waterloop Building Piping,NULL,1999-10-19 00:00:00.000
21,105,070091L/,NULL,Telli Foster,Penfield And Smith  Stantec,Chilled Water Loop Ext Essb,NULL,2006-08-09 00:00:00.000
21,106,080138S/128-44,NULL,Mark Peppers,The Palt Co,Saasb Chilled Water Connection,NULL,2007-09-11 00:00:00.000
21,107,070631/076-84,NULL,Telli Foster,Pands,North Hall Chilled Water Connection,NULL,2007-10-04 00:00:00.000
21,108,080138S/129-52,NULL,George Levinthal,The Palt Co,Saasb Chilled Waterline Extension,NULL,2008-04-10 00:00:00.000
21,109,090366/118-80,NULL,Telli Foster,Pands,Ucsb Chilled Water Main Ocean Road To Event Center,NULL,2009-11-04 00:00:00.000
21,113,150417B,NULL,Jennifer Pierce,Goss Engineering,Materials Research Lab Chilled Water Extension,NULL,2015-03-31 00:00:00.000
21,115,170051B/987895,NULL,George Levinthal,Goss Engineering,Cloud Lab Chilled Waterline Extension,NULL,2016-08-18 00:00:00.000
21,116,TBD,NULL,Jennifer Pierce,TBD,Kerr Hall and Psychology Boiler Upgrade,"Kerr Hall and Psychology Boiler Upgrade: UCSB Drawing# 21-116
Theater Dance and Arts Boiler Upgrade : UCSB Drawing# 21-117
Life Science and Davidson Library Boiler Upgrade : UCSB Drawing# 21-118  
Phelps Hall and Materials Research Laboratory Boiler Upgrade : UCSB Drawing# 21-119
Recreation Center Boiler Upgrade : UCSB Drawing# 21-120
De La Guerra Boiler Upgrade : UCSB Drawing# 21-121  
San Miguel Boiler Up Grade : UCSB Drawing# 21-122
University Center Boiler Upgrade : UCSB Drawing# 21-123",2018-09-27 00:00:00.000
21,117,TBD,NULL,Jennifer Pierce,TBD,Theater Dance and Arts Boiler Upgrade,"Kerr Hall and Psychology Boiler Upgrade: UCSB Drawing# 21-116
Theater Dance and Arts Boiler Upgrade : UCSB Drawing# 21-117
Life Science and Davidson Library Boiler Upgrade : UCSB Drawing# 21-118  
Phelps Hall and Materials Research Laboratory Boiler Upgrade : UCSB Drawing# 21-119
Recreation Center Boiler Upgrade : UCSB Drawing# 21-120
De La Guerra Boiler Upgrade : UCSB Drawing# 21-121  
San Miguel Boiler Up Grade : UCSB Drawing# 21-122
University Center Boiler Upgrade : UCSB Drawing# 21-123",2018-09-27 00:00:00.000
21,118,TBD,NULL,Jennifer Pierce,TBD,Life Science and Davidson Library Boiler Upgrade,"Kerr Hall and Psychology Boiler Upgrade: UCSB Drawing# 21-116
Theater Dance and Arts Boiler Upgrade : UCSB Drawing# 21-117
Life Science and Davidson Library Boiler Upgrade : UCSB Drawing# 21-118  
Phelps Hall and Materials Research Laboratory Boiler Upgrade : UCSB Drawing# 21-119
Recreation Center Boiler Upgrade : UCSB Drawing# 21-120
De La Guerra Boiler Upgrade : UCSB Drawing# 21-121  
San Miguel Boiler Up Grade : UCSB Drawing# 21-122
University Center Boiler Upgrade : UCSB Drawing# 21-123",2018-09-27 00:00:00.000
21,119,TBD,NULL,Jennifer Pierce,TBD,Phelps Hall and Materials Research Laboratory Boiler Upgrade,"Kerr Hall and Psychology Boiler Upgrade: UCSB Drawing# 21-116
Theater Dance and Arts Boiler Upgrade : UCSB Drawing# 21-117
Life Science and Davidson Library Boiler Upgrade : UCSB Drawing# 21-118  
Phelps Hall and Materials Research Laboratory Boiler Upgrade : UCSB Drawing# 21-119
Recreation Center Boiler Upgrade : UCSB Drawing# 21-120
De La Guerra Boiler Upgrade : UCSB Drawing# 21-121  
San Miguel Boiler Up Grade : UCSB Drawing# 21-122
University Center Boiler Upgrade : UCSB Drawing# 21-123",2018-09-27 00:00:00.000
21,120,TBD,NULL,Jennifer Pierce,TBD,Recreation Center Boiler Upgrade,"Kerr Hall and Psychology Boiler Upgrade: UCSB Drawing# 21-116
Theater Dance and Arts Boiler Upgrade : UCSB Drawing# 21-117
Life Science and Davidson Library Boiler Upgrade : UCSB Drawing# 21-118  
Phelps Hall and Materials Research Laboratory Boiler Upgrade : UCSB Drawing# 21-119
Recreation Center Boiler Upgrade : UCSB Drawing# 21-120
De La Guerra Boiler Upgrade : UCSB Drawing# 21-121  
San Miguel Boiler Up Grade : UCSB Drawing# 21-122
University Center Boiler Upgrade : UCSB Drawing# 21-123",2018-09-27 00:00:00.000
21,121,TBD,NULL,Jennifer Pierce,TBD,De La Guerra Boiler Upgrade,"Kerr Hall and Psychology Boiler Upgrade: UCSB Drawing# 21-116
Theater Dance and Arts Boiler Upgrade : UCSB Drawing# 21-117
Life Science and Davidson Library Boiler Upgrade : UCSB Drawing# 21-118  
Phelps Hall and Materials Research Laboratory Boiler Upgrade : UCSB Drawing# 21-119
Recreation Center Boiler Upgrade : UCSB Drawing# 21-120
De La Guerra Boiler Upgrade : UCSB Drawing# 21-121  
San Miguel Boiler Up Grade : UCSB Drawing# 21-122
University Center Boiler Upgrade : UCSB Drawing# 21-123",2018-09-27 00:00:00.000
21,122,TBD,NULL,Jennifer Pierce,TBD,San Miguel Boiler Up Grade,"Kerr Hall and Psychology Boiler Upgrade: UCSB Drawing# 21-116
Theater Dance and Arts Boiler Upgrade : UCSB Drawing# 21-117
Life Science and Davidson Library Boiler Upgrade : UCSB Drawing# 21-118  
Phelps Hall and Materials Research Laboratory Boiler Upgrade : UCSB Drawing# 21-119
Recreation Center Boiler Upgrade : UCSB Drawing# 21-120
De La Guerra Boiler Upgrade : UCSB Drawing# 21-121  
San Miguel Boiler Up Grade : UCSB Drawing# 21-122
University Center Boiler Upgrade : UCSB Drawing# 21-123",2018-09-27 00:00:00.000
21,123,TBD,NULL,Jennifer Pierce,TBD,University Center Boiler Upgrade,"Kerr Hall and Psychology Boiler Upgrade: UCSB Drawing# 21-116
Theater Dance and Arts Boiler Upgrade : UCSB Drawing# 21-117
Life Science and Davidson Library Boiler Upgrade : UCSB Drawing# 21-118  
Phelps Hall and Materials Research Laboratory Boiler Upgrade : UCSB Drawing# 21-119
Recreation Center Boiler Upgrade : UCSB Drawing# 21-120
De La Guerra Boiler Upgrade : UCSB Drawing# 21-121  
San Miguel Boiler Up Grade : UCSB Drawing# 21-122
University Center Boiler Upgrade : UCSB Drawing# 21-123",2018-09-27 00:00:00.000
21,124,none,NULL,Leslie Collasse,Tierra,Alumni House Chilled Water Installation - combined with Henley Hall?,,2019-07-30 00:00:00.000
22,102,,NULL,Ed Marini,Verle A Williams And Associates,"Econ2
Emcs Upgrade  Expansion",NULL,2001-06-15 00:00:00.000
25,159,910387B/289-09,NULL,Moe Hurtado,Moe Hurtado,"Exterior Security Lighting
Storke Campus Apartments",NULL,1992-03-17 00:00:00.000
25,174,6S136-1,NULL,Chris Carson,Southern California Edison,Meas Road 16Kv Relocation  Parking Structure,NULL,1996-01-24 00:00:00.000
25,175,020198S\100-22,NULL,Moe Hurtado,Maloney,Replace 5Kv Feeders 4A  4B,NULL,2001-10-24 00:00:00.000
25,176,030420L/986010,NULL,David Mchale,P2S Engineering,Electrical Infrastructure Renewal Phase 1,NULL,2003-06-09 00:00:00.000
25,177,040361L/986020,NULL,David Mchale,P2S Engineering,Electrical Infrastructure Renewal Phase Ii,NULL,2004-02-17 00:00:00.000
25,178,030420L/986020,NULL,David Mchale,P2S Engineering,Electrical Infrastructure Renewal Phase Ii B,NULL,2006-02-09 00:00:00.000
25,179,NULL,NULL,Steve Eggemeyer,John Maloney,Sedgewick Electrical Distribution System Replacement,NULL,2009-06-30 00:00:00.000
25,180,140133B/986470,NULL,Joe Van Thyne,Comm Services,Oni Fiber Relocation Civil Work,NULL,2013-09-19 00:00:00.000
25,181," 140435L/986170.   ",NULL,Ray Aronson,Penfield And Smith  Stantec,"Ucsb 12Kv Backbone ",NULL,2014-03-24 00:00:00.000
25,182,170088B/166-00,NULL,George Levinthal,Conti,Campus Electrical Vehicle Charging Station Infrastructure Project,NULL,2016-10-28 00:00:00.000
26,144,920448B/238-12,NULL,Moe Hurtado,Moe Hurtado Ucsb,Underground 5Kv  Comm Duct Routing  Eng I  Mrl,NULL,1993-06-24 00:00:00.000
26,149,990361B/100-96,NULL,Moe Hurtado,John Maloney,4160V System Safety Repairs Phase 3 Bldg 534  544,NULL,1999-11-30 00:00:00.000
26,150,990362B/100-97,NULL,Moe Hurtado,John Maloney,4160 Safety Repairs Bldg 533 Robertson Gym,NULL,2000-02-07 00:00:00.000
26,151,990363B\100-98,NULL,Moe Hurtado,John Maloney,4162 Safety Repairs Manhole 7100A,NULL,2000-02-07 00:00:00.000
26,152,990364B\100-99,NULL,Moe Hurtado,John Maloney,4160 Safety Repairs Bldg 531  538 Campbell Hall  Music Bldg,NULL,2000-02-07 00:00:00.000
26,153,010359B/399-52,NULL,Paul Gawronik,Paul Gawronik,Sedgwick Electrical Pole Relocation And 200 Amp Panel,NULL,2005-11-23 00:00:00.000
27,143,FM,,Croft Yjader,JMPE Electrical Engineering,"Recreation Center Fields 1, 2, & 3 LED Lighting Retrofit Project",NULL,2017-10-10 00:00:00.000
28,142,940312L/100-35/289-32,NULL,Chris Carson,John Maloney,Hazel Upgrade Ethyl System Installation,NULL,1993-06-24 00:00:00.000
28,146,050506/986100,NULL,Telli Foster,Penfield And Smith  Stantec,Optical Fiber Extension Project From Ucsb To Union Pacific RightOfWay,NULL,2005-08-17 00:00:00.000
28,147,130405,NULL,Deedee Ciancola,Penfield And Smith  Stantec,"Storke Road Communication Manhole Encroachment Permit ",NULL,2013-03-20 00:00:00.000
28,148,TBD,NULL,Paul Kouns,John Loman,West Campus Apartments (WCFSH) Communications Upgrade,NULL,2018-06-27 00:00:00.000
29,101,940171B/106-73,106-73,Chris Carson,John Maloney,Phelps Hall North Fluorescent Lighting Retrofits,NULL,1994-10-26 00:00:00.000
29,102,940169B/106-73,NULL,Chris Carson,John Maloney,Phelps Hall West Flourescent Lighting Retrofits,NULL,1994-12-07 00:00:00.000
29,103,940170B/106-73,NULL,Chris Carson,John Maloney,Phelps Hal East Flourescent Lighting Retrofits,NULL,1994-12-07 00:00:00.000
30,166,S.O. 1477,NULL,Alan Walker,"Garner Land Surveying ","Site And Access Easements
Hssb",NULL,1972-12-17 00:00:00.000
30,168,NULL,NULL,Ray Aronson,Roger HemmanPenfield And Smith,"Record Boundary And Easements
UCSB  Main Campus",NULL,2002-07-12 00:00:00.000
30,175,,NULL,Erich Brown,Penfield And Smith  Stantec,Ocean Road Record Of Survey,NULL,2008-10-08 00:00:00.000
30,176,,NULL,Erich Brown,Penfield And Smith  Stantec,San Clemente Housing Stork Field,NULL,2001-08-28 00:00:00.000
30,178,5201-4934093 LC,NULL,Jordan Sager,First American Title,Campus Title Report 2015,NULL,2015-08-17 00:00:00.000
30,188,,NULL,Frank Castanha,Penfield And Smith  Stantec,Iee Henley Hall Topographic Map,NULL,2017-06-12 00:00:00.000
33,100,,NULL,Ray Aronson,Penfield And Smith  Stantec,Psychology Topography  East Side,NULL,2000-10-06 00:00:00.000
33,202,,NULL,Jack Wolever,Mns,"Life Sciences Building 235 Topography
Existing Building 478",NULL,1999-01-01 00:00:00.000
33,203,NULL,NULL,Ray Aronson,Penfield And Smith  Stantec,"Lot 3Ucen Road Topography
Campus Parking Structure Ii",NULL,2000-10-06 00:00:00.000
33,204,,NULL,Ray Aronson,Penfield And Smith  Stantec,"Santa Ynez Apartments
Topographic Mapping",NULL,2001-02-13 00:00:00.000
33,205,981400,NULL,Ilze Landfried,Penfield And Smith  Stantec,"Recreation Center Expansion
Ica Building Toporgraphy",NULL,2000-10-06 00:00:00.000
33,208,,NULL,Ray Aronson,Penfield And Smith  Stantec,"San ClementeStorke Play Fields
Topographic Mapping",NULL,2001-02-13 00:00:00.000
33,209,,NULL,Ray Aronson,Penfield And Smith  Stantec,Survey Control  Ucsb Main Campus,NULL,2001-06-04 00:00:00.000
33,212,020402/123-31,NULL,Ilze Landfried,Penfield And Smith  Stantec,Recreation Center Expansion  Tree SurveyMesa Road,NULL,2002-03-08 00:00:00.000
33,214,NULL,NULL,Ray Aronson,Penfield And Smith  Stantec,Kohn Hall Expansion Supplementary Topographic Mapping,NULL,2002-06-19 00:00:00.000
33,217,NULL,NULL,Ray Aronson,Penfield And Smith  Stantec,"Parking Lots 22 And 23 Site Topography
Cpsiii Elb Srb Snidecor Expansion",NULL,2003-06-04 00:00:00.000
33,218,NULL,NULL,Frank Castanha,Penfield And Smith  Stantec,Mrl Expansion Site Topography,NULL,2003-07-08 00:00:00.000
33,219,040285/981240,NULL,Ilze Landfried,Kmw,Essb,NULL,2003-12-24 00:00:00.000
33,220,NULL,NULL,Ray Aronson,Penfield And Smith  Stantec,Ocean Road  Isla Vista Property Line,NULL,2004-03-19 00:00:00.000
33,221,NULL,NULL,Frank Castanha,Penfield And Smith  Stantec,Topographic Survey Alumni House,NULL,2004-03-01 00:00:00.000
33,223,050405/126-85,NULL,George Levinthal,Penfield And Smith  Stantec,Green Waste Transfer Station,NULL,2005-05-05 00:00:00.000
33,224,,NULL,Croft Yjader,Penfield And Smith  Stantec,Topographic Survey For Greenhouse Area,NULL,2005-07-05 00:00:00.000
33,226,,NULL,Ray Aronson,Penfield And Smith  Stantec,East Campus Storm Water And Seawater Control Topography,NULL,2005-11-14 00:00:00.000
33,227,NULL,NULL,Tye Simpson,Penfield And Smith  Stantec,West  North Campus Topo Ortho Project,NULL,2006-08-20 00:00:00.000
33,228,NULL,NULL,Ray Aronson,Penfield And Smith  Stantec,Main Campus Aerial And Topographic Mapping 2006,NULL,2007-01-19 00:00:00.000
33,231," 05041S/116-70",NULL,Ray Aronson,Penfield And Smith  Stantec,West Campus Bluff Topographic Survey,NULL,2007-11-20 00:00:00.000
33,232,070189/21164,NULL,Frank Castanha,Penfield And Smith  Stantec,Engineering 2 Topographic Map,NULL,2006-09-27 00:00:00.000
33,234,NULL,NULL,Ray Aronson,Bert Haze,AtT Parking Lot 2 Cell Site Topographic Survey,NULL,2009-08-31 00:00:00.000
33,237,130061/400-02,NULL,Ray Aronson,Penfield And Smith  Stantec,Sedgwick Reserve Site Utilities And Topo,NULL,2012-09-18 00:00:00.000
33,238,130061/400-02,NULL,Ray Aronson,Penfield And Smith  Stantec,Sedgwick Reserve Site Water  Storm  Lines,NULL,2012-09-18 00:00:00.000
33,239,130061/400-02,NULL,Ray Aronson,Penfield And Smith  Stantec,"Sedgwick Reserve Site Electrical ",NULL,2012-09-18 00:00:00.000
33,240,130061/400-02,NULL,Ray Aronson,Penfield And Smith  Stantec,"Sedgwick Reserve Stie Communications ",NULL,2012-09-18 00:00:00.000
33,241,130061/400-02,NULL,Ray Aronson,Penfield And Smith  Stantec,"Sedgwick Reserve Site Sewer ",NULL,2012-09-18 00:00:00.000
33,243,NULL,NULL,Liana Khammash,Above Grade Eng,Baseball Stadium Topographic Map,NULL,2013-07-01 00:00:00.000
33,244,FM170374BR/981998,NULL,Ray Aronson,Stantec,UCSB Storke Field Topographic Information,NULL,2017-04-20 00:00:00.000
33,245,none,NULL,unknown,Stantec,Topographic Map UCSB Cart Barn,NULL,2015-11-12 00:00:00.000
34,111,130082B,NULL,Jennifer Hernandez,Penfield And Smith  Stantec,Segovia Road Access,NULL,2012-08-13 00:00:00.000
34,112,130100S/986051,NULL,Roger Monte,Penfield And Smith  Stantec,El Colegio Road Phase Iii,NULL,2012-08-20 00:00:00.000
34,317,NULL,166-52,Ray Aronson,Penfield And Smith  Stantec,'San Rafael Temporary Unpaved Parking Lot 18,NULL,1992-08-20 00:00:00.000
34,327,,986535,Ray Aronson,Pands,Temporary Parking Lot 18,NULL,1994-03-30 00:00:00.000
34,328,910489B/166-30,NULL,Roy Fong,Santa Barbara Electrical Design Bob Nettles,Parking Lot Lighting,NULL,1992-04-07 00:00:00.000
34,331,960207L/986540,986540,Ray Aronson,Martin Northart Spencer,Temporary Parking Lot 38  Harder Stadium,NULL,1995-08-21 00:00:00.000
34,333,950204S/166-07,NULL,Ed Bookin,Mns,Bike Path Improvements Music  Library,NULL,1996-04-03 00:00:00.000
34,336,990010S/166-11,NULL,Croft Yjader,Penfield And Smith  Stantec,Parking Lot 32 Rehabilitation Project,NULL,1999-07-14 00:00:00.000
34,337,9900056B/166-15,NULL,Art Mazenek,Flowers And Associates,Bike Path North Of Arts,NULL,1999-10-13 00:00:00.000
34,338,990437S/166-18,NULL,Croft Yjader,Penfield And Smith  Stantec,Parking Lot 31 Rehabilitation Project,NULL,1999-08-20 00:00:00.000
34,339,,NULL,Celeste Manolas,CastlebergSuding,East Bluff Improvements Phase I,NULL,2001-01-08 00:00:00.000
34,340,010502B/986513,NULL,Croft Yjader,CastlebergSuding,Lot 31 Landscaping,NULL,2001-02-06 00:00:00.000
34,341,94031S/166-81,NULL,Inga  Rose,,"Parking Lot Maintenance
Lot 10 11  Erc",NULL,1995-04-11 00:00:00.000
34,343,020571B,NULL,Celeste Manolas,Suding Design,East Bluff Restoration Phase Ii,NULL,2002-06-20 00:00:00.000
34,345,03045`/166-53,NULL,Marsha Zilles,Rrm Design Group,Parking Lot 30 Extension,NULL,2003-10-10 00:00:00.000
34,347,040375S/166-73,NULL,Deedee Ciancola,Penfield And Smith  Stantec,Lower Arts Parking Lot,NULL,2004-02-20 00:00:00.000
34,348,040384S/986497,NULL,Ray Aronson,Fdae Fields Devereaux,Parking Lot 38 PavingHarder Stadium,NULL,2004-04-23 00:00:00.000
34,349,040562S/981350,NULL,Ray Aronson,Rrm Design Group,Sedgwick Reserve Entrance Road,NULL,2004-06-30 00:00:00.000
34,350,116-51,NULL,Marsha Zilles,Marsha Zilles,West Side Music Building Bike Parking,NULL,2004-07-01 00:00:00.000
34,352,116-58,NULL,Marsha Zilles,Penfield And Smith  Stantec,Ucsb  Goleta Beach Bike Path  As Built Survey,NULL,2004-01-05 00:00:00.000
34,353,109 18,NULL,Marsha Zilles,Penfield And Smith  Stantec,Topographic Survey_Southerly Side Lagoon Road,NULL,2005-02-23 00:00:00.000
34,354,060260S/126-17,NULL,Deedee Ciancola,Suding Design," East Entrance Road Improvements",NULL,2005-10-05 00:00:00.000
34,355,,NULL,Telli Foster,Penfield And Smith  Stantec,Storke Apt Road Paving,NULL,2006-04-19 00:00:00.000
34,356," 080080S/166-07",NULL,Maryann Johansson,Pands,Parking Lot 16 1517 29 30 Ucen Road Central Stores Repair 2007,NULL,2006-11-09 00:00:00.000
34,357,070280S/986570/065-70,NULL,Deedee Ciancola,Chuck Woodburn,East Gate Installation,NULL,2006-11-06 00:00:00.000
34,358,070588S/986120,NULL,Erich Brown,Penfield And Smith  Stantec,Devereux Culvert Replacement,NULL,2007-05-18 00:00:00.000
34,359,070596S/986130,NULL,Erich Brown,Schaaf  And Wheller,Phelps Creek Bridge  Bank Layback,NULL,2007-05-21 00:00:00.000
34,360,070405B/128-54,NULL,David Inouye,Inouye,Improvement Plan Robertson Gym Bicycle Area Improvements,NULL,2007-05-29 00:00:00.000
34,362,120554S,NULL,Ray Aronson,Triad Holmes Associate,"Snarl Road Reconstruction
",NULL,2007-10-03 00:00:00.000
34,363,080001S/987696/076-96,NULL,Ray Aronson,Suding Design Landscape Architects,West Campus Bluff Trail,NULL,2008-01-14 00:00:00.000
34,364,DCS-PB01,NULL,Paul Bartsch,UCSB,Ada Tactile Warning Pad Campus Inventory,NULL,2008-02-04 00:00:00.000
34,365,166-16,NULL,Jerome Ripley,UCSB,Ten Year Maintenance PlanBudget For Transportation And Parking Services,NULL,2008-02-07 00:00:00.000
34,366,NULL,NULL,Jerome Ripley,Penfield And Smith  Stantec,Mesa Road Repair 2008 East Gate To Mesa Structure,NULL,2008-02-07 00:00:00.000
34,367,080435L/986051,NULL,Erich Brown,Pands,El Colegio Road Improvement,NULL,2008-02-14 00:00:00.000
34,369," 070040S/166-89",NULL,Maryann Johansson,Pands,Parking Lots Repair 20062007,NULL,2006-10-24 00:00:00.000
34,371,080685B/ 120-40,NULL,Ray Aronson,Paul Bartsch,Los Carneros Access,NULL,2008-05-01 00:00:00.000
34,372,NULL,NULL,Ray Aronson,Ray Aronson,Sedgwick Reserve Mid Village Access Road,NULL,2008-12-05 00:00:00.000
34,374,090477B,NULL,Carlyle Decker,Dennis Wheeler,New Bike Lot  Music North,NULL,2009-07-07 00:00:00.000
34,376,080718B,NULL,Frank Castanha,Suding Design,Ucsb Enginirring I  Bren Bike Parking,NULL,2009-08-28 00:00:00.000
34,377,,NULL,Deedee Ciancola,Penfield And Smith  Stantec,Paving At Harder Stadium,NULL,2010-09-01 00:00:00.000
34,379,NULL,NULL,Ray Aronson,Ray Aronson,Harder Stadium Emergency Generator Pad,NULL,2012-05-09 00:00:00.000
34,380,120415B,NULL,Zeina Ellis,Zeina Ellis,Parking Lot 4 Modifications,NULL,2012-04-06 00:00:00.000
34,381,120262B,NULL,Zeina Ellis,Zeina Ellis,Parking Lot 8 Pavement Repairs  Modifications,NULL,2012-04-06 00:00:00.000
34,382,NULL,NULL,Zeina Ellis,Zeina Ellis,"Parking Lot 19 ",NULL,2011-09-05 00:00:00.000
34,384,120467/166-55,NULL,Telli Foster,P2S Engineering,Parking 10  22 Lighting Upgrade,NULL,2012-11-03 00:00:00.000
34,385,981221,NULL,Ray Aronson,Ray Aronson,Ucen Road Reconstruction Oseb,NULL,2013-07-16 00:00:00.000
